id,category,name,description,traits,use_case,features
1,token,sip010-basic,"Basic SIP-010 fungible token","SP3FBR2AGK5H9QBDH3EEN6DF8EK8JY7RX8QJ5SVTE.sip-010-trait-ft-standard","Meme tokens utility tokens","transfer get-name get-symbol get-decimals get-balance get-total-supply get-token-uri"
2,token,sip010-mintable,"SIP-010 with mint function","sip-010-trait","Reward tokens inflationary","All SIP-010 functions plus mint (owner-only)"
3,token,sip010-burnable,"SIP-010 with burn on transfer","sip-010-trait","Deflationary tokens","All SIP-010 functions plus burn mechanism"
4,token,sip010-capped,"SIP-010 with max supply cap","sip-010-trait","Limited supply tokens","All SIP-010 functions with supply cap check"
5,nft,sip009-basic,"Basic SIP-009 NFT collection","SP2PABAF9FTAJYNFZH93XENAJ8FVY99RRM50D2JG9.nft-trait","PFP collections","transfer get-last-token-id get-token-uri get-owner"
6,nft,sip009-mintable,"SIP-009 with public mint","nft-trait","Open mints allowlists","All SIP-009 functions plus public mint"
7,nft,sip009-royalties,"SIP-009 with royalty support","nft-trait","Creator royalties","All SIP-009 functions plus royalty tracking"
8,defi,vault-basic,"Simple STX vault","none","Savings staking","deposit withdraw get-balance"
9,defi,vault-timelocked,"Vault with unlock period","none","Vesting lockups","deposit withdraw-after-period get-unlock-time"
10,defi,pool-basic,"Basic liquidity pool","none","DEX pools","add-liquidity remove-liquidity swap get-reserves"
11,dao,dao-basic,"Simple DAO with proposals","none","Governance","create-proposal vote execute-proposal"
12,dao,dao-treasury,"DAO with treasury management","none","Protocol governance","All DAO functions plus treasury management"
13,marketplace,nft-marketplace,"NFT listing and sales","nft-trait","NFT trading","list-nft unlist-nft buy-nft get-listing"
14,stacking,stacking-pool,"Stacking pool delegation","none","Pool operators","delegate revoke get-delegation-info claim-rewards"
